Strategy,Asset,CVaR_Contribution,Contribution_Share,VaR_Threshold,CVaR_Estimate,N_Tail_Scenarios,N_Common_Assets
MinVar,XLF,-0.00015212984630096177,-0.018430314433685376,0.00459470769312732,0.008254327230734146,11,24
DRP,XLV,0.0013072182469845391,0.06814922842786147,0.014567041277015925,0.019181702818077816,11,24
DRP,XLP,0.001132741110910212,0.05905320928247616,0.014567041277015925,0.019181702818077816,11,24
DRP,XLI,0.0010750267776550538,0.05604438708339771,0.014567041277015925,0.019181702818077816,11,24
DRP,TLT,0.0010259685823536197,0.05348683545376871,0.014567041277015925,0.019181702818077816,11,24
DRP,XLB,0.0008973391567620007,0.04678099568492441,0.014567041277015925,0.019181702818077816,11,24
DRP,XLK,0.0008949242540815216,0.04665509952735267,0.014567041277015925,0.019181702818077816,11,24
DRP,IEF,0.0008507807454809342,0.04435376533302951,0.014567041277015925,0.019181702818077816,11,24
DRP,IWF,0.0008499689091197503,0.0443114418558657,0.014567041277015925,0.019181702818077816,11,24
DRP,IWO,0.0008260655441709089,0.04306528737335992,0.014567041277015925,0.019181702818077816,11,24
DRP,AGG,0.0008099046554000729,0.042222771517280384,0.014567041277015925,0.019181702818077816,11,24
DRP,SPY,0.0007720871769646575,0.040251232348204415,0.014567041277015925,0.019181702818077816,11,24
DRP,XLU,0.0007710859388893186,0.04019903478864285,0.014567041277015925,0.019181702818077816,11,24
DRP,IWB,0.0007592052893987517,0.039579660710999956,0.014567041277015925,0.019181702818077816,11,24
DRP,IWD,0.0007482900470774522,0.03901061621975633,0.014567041277015925,0.019181702818077816,11,24
DRP,XLY,0.0007431107225330952,0.03874060241579542,0.014567041277015925,0.019181702818077816,11,24
DRP,IWM,0.0007428855592421357,0.038728863974579066,0.014567041277015925,0.019181702818077816,11,24
DRP,IJH,0.000717837581830907,0.03742303739344665,0.014567041277015925,0.019181702818077816,11,24
DRP,IWN,0.0007176016405711637,0.03741073706422244,0.014567041277015925,0.019181702818077816,11,24
DRP,IJJ,0.0006829133698481204,0.03560233292763289,0.014567041277015925,0.019181702818077816,11,24
