Date,Strategy,Asset,Weight
2009-05-31,MinVar,IWO,0.0
2009-05-31,MinVar,LQD,0.0
2009-05-31,MinVar,SHY,0.9543139994328125
2009-05-31,MinVar,SPY,0.0
2009-05-31,MinVar,TIP,5.204170427930421e-18
2009-05-31,MinVar,TLT,1.3118846287074604e-17
2009-05-31,MinVar,VTI,0.0
2009-05-31,MinVar,XLB,0.0
2009-05-31,MinVar,XLE,0.016222089116680796
2009-05-31,MinVar,XLF,0.0
2009-05-31,MinVar,XLI,1.734723475976807e-18
2009-05-31,MinVar,XLK,0.029463911450506825
2009-05-31,MinVar,XLP,0.0
2009-05-31,MinVar,XLU,7.860465750519907e-19
2009-05-31,MinVar,XLV,3.469446951953614e-18
2009-05-31,MinVar,XLY,1.734723475976807e-18
2009-05-31,DRP,AGG,0.05161126168517285
2009-05-31,DRP,IEF,0.053019689592975455
2009-05-31,DRP,IJH,0.010095922494337321
2009-05-31,DRP,IJJ,0.009833510160509174
2009-05-31,DRP,ITOT,0.011446737107780032
2009-05-31,DRP,IVV,0.011873518523440929
2009-05-31,DRP,IWB,0.011599387114663767
2009-05-31,DRP,IWD,0.010869995116078248
2009-05-31,DRP,IWF,0.012104548422328935
2009-05-31,DRP,IWM,0.009392436202854798
2009-05-31,DRP,IWN,0.009175620118882274
2009-05-31,DRP,IWO,0.009263114643614108
2009-05-31,DRP,LQD,0.0267686502411419
2009-05-31,DRP,SHY,0.5732417741533473
2009-05-31,DRP,SPY,0.011743773511529195
2009-05-31,DRP,TIP,0.029549134308833026
2009-05-31,DRP,TLT,0.025882030148879433
2009-05-31,DRP,VTI,0.011338295036906155
2009-05-31,DRP,XLB,0.009617216644356863
2009-05-31,DRP,XLE,0.012799994888569947
2009-05-31,DRP,XLF,0.00756318883447488
2009-05-31,DRP,XLI,0.009812451810592024
2009-05-31,DRP,XLK,0.011543255520463747
2009-05-31,DRP,XLP,0.018461726756067682
2009-05-31,DRP,XLU,0.015482949605257914
2009-05-31,DRP,XLV,0.015363714049641403
2009-05-31,DRP,XLY,0.010546103307300743
2009-05-31,MinCVaR,AGG,0.0
2009-05-31,MinCVaR,IEF,0.0
2009-05-31,MinCVaR,IJH,0.0
