Strategy,Asset,CVaR_Contribution,Contribution_Share,VaR_Threshold,CVaR_Estimate,N_Tail_Scenarios,N_Common_Assets
DRP,IEF,0.001853433125144644,0.06801729392723155,0.01896281822420154,0.02724943934299331,11,27
DRP,TLT,0.0018186150303357038,0.06673953938811318,0.01896281822420154,0.02724943934299331,11,27
DRP,SHY,0.0014992301204647376,0.05501875108671681,0.01896281822420154,0.02724943934299331,11,27
DRP,AGG,0.001393311747281786,0.05113175833616004,0.01896281822420154,0.02724943934299331,11,27
DRP,TIP,0.001173056355884756,0.04304882537652596,0.01896281822420154,0.02724943934299331,11,27
DRP,LQD,0.001138446994597444,0.041778730940758756,0.01896281822420154,0.02724943934299331,11,27
DRP,IWN,0.0009967880295166389,0.03658012985037595,0.01896281822420154,0.02724943934299331,11,27
DRP,XLI,0.0009812204090122738,0.036008829270264456,0.01896281822420154,0.02724943934299331,11,27
DRP,XLV,0.0009752856073428829,0.035791033902268496,0.01896281822420154,0.02724943934299331,11,27
DRP,XLU,0.0009639747605857764,0.035375948416848595,0.01896281822420154,0.02724943934299331,11,27
DRP,IWM,0.0009590721020342162,0.035196030639831254,0.01896281822420154,0.02724943934299331,11,27
DRP,IWO,0.000955467879393597,0.03506376286744694,0.01896281822420154,0.02724943934299331,11,27
DRP,IJJ,0.0009416219120548096,0.03455564351994383,0.01896281822420154,0.02724943934299331,11,27
DRP,XLB,0.0009383715670880976,0.03443636235141044,0.01896281822420154,0.02724943934299331,11,27
DRP,IWD,0.0009304594761337457,0.03414600441579345,0.01896281822420154,0.02724943934299331,11,27
DRP,IJH,0.0009211062108358832,0.03380275826015218,0.01896281822420154,0.02724943934299331,11,27
DRP,XLF,0.000913510021362886,0.03352399327796731,0.01896281822420154,0.02724943934299331,11,27
DRP,XLP,0.000843690554254226,0.030961758281869572,0.01896281822420154,0.02724943934299331,11,27
DRP,VTI,0.0008334746958769456,0.030586856683025954,0.01896281822420154,0.02724943934299331,11,27
DRP,ITOT,0.0008331892561396544,0.030576381614761308,0.01896281822420154,0.02724943934299331,11,27
DRP,IWB,0.0008264964496639306,0.030330768984296496,0.01896281822420154,0.02724943934299331,11,27
DRP,SPY,0.0008230851590212422,0.0302055814309032,0.01896281822420154,0.02724943934299331,11,27
DRP,IVV,0.0008194810948889738,0.03007331947545878,0.01896281822420154,0.02724943934299331,11,27
DRP,XLY,0.0007997304068099623,0.029348508669981052,0.01896281822420154,0.02724943934299331,11,27
DRP,XLK,0.0007822315987725177,0.02870633736446595,0.01896281822420154,0.02724943934299331,11,27
DRP,IWF,0.0007521214733366415,0.02760135589835669,0.01896281822420154,0.02724943934299331,11,27
DRP,XLE,0.0005829673051593455,0.021393735769071685,0.01896281822420154,0.02724943934299331,11,27
MinCVaR,SHY,0.007176869980120126,0.7432698765296887,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,XLV,0.0012034983332106883,0.12463985832361728,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,XLU,0.000786569078562758,0.08146073476666586,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,XLE,0.00043085285495349734,0.0446211160562769,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,XLP,0.00020382331619505885,0.02110888611355857,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,XLY,0.00011550634088173412,0.011962371335048997,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IWB,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IWD,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IJH,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IJJ,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,ITOT,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,XLI,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IVV,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,XLB,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,VTI,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,TLT,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,TIP,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,SPY,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IEF,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,LQD,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IWO,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IWN,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IWM,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,IWF,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,AGG,-0.0,-0.0,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,XLF,-3.3676846056775903e-07,-3.487730066152068e-05,0.005376604471965048,0.00965580633191914,11,27
MinCVaR,XLK,-0.0002609768035441545,-0.02702796582419482,0.005376604471965048,0.00965580633191914,11,27
MinCVaR_Cap,AGG,0.008598794025401752,0.40052337368638974,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,TIP,0.0034493767561163,0.16066857880231256,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,XLP,0.0028567396494303915,0.13306412489396455,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,SHY,0.002750230982987092,0.12810305590165133,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IEF,0.0022115999629745853,0.10301415242632114,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,XLU,0.0007845446475350531,0.03654331852932803,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,XLE,0.0005000764293498122,0.02329306853874457,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,LQD,0.0001622982354777507,0.007559692280669521,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,XLF,0.00015523373818361808,0.0072306349406186105,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,ITOT,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,VTI,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,XLV,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IJH,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,XLK,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,XLI,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,XLB,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IJJ,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,TLT,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IVV,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,SPY,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IWO,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IWN,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IWM,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IWF,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IWD,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,IWB,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
MinCVaR_Cap,XLY,-0.0,-0.0,0.016922643556629792,0.021468894427456354,11,27
