Date,SPY,IVV,VTI,ITOT,IWB,IWD,IWF,IWM,IWN,IWO,IJH,IJJ,XLK,XLF,XLV,XLE,XLI,XLY,XLP,XLU,XLB,SHY,IEF,TLT,LQD,AGG,TIP
2019-02-28,-0.42294144400464023,-0.4191173435822224,-0.43459167802908655,-0.43199876009332483,-0.4258026985392958,-0.3540281674320878,-0.4922418010927667,-0.4634455958053124,-0.41453362170184666,-0.5057308052082247,-0.40418197435806,-0.40028715310072227,-0.5989236728040226,-0.49144202298475465,-0.3695010167934291,-0.22479477692134464,-0.4416277092590045,-0.4345821394417308,-0.13854708896166085,-0.30492422944586717,-0.33036145329723293,2.614401527451931,1.9924299005036739,-0.3333853668530587,-0.23711307021224967,3.073888151154564,1.3933840108117768
2019-03-31,-0.3992946773094068,-0.40133412035825927,-0.40361175006913314,-0.4006495922444822,-0.3992375886667014,-0.3072949469379496,-0.48440778386577715,-0.38668797595473764,-0.32338269279643017,-0.44515916979029907,-0.33424339307957224,-0.30092015999433824,-0.5982401009129193,-0.420208240657537,-0.36967186719134193,-0.15527813315873434,-0.3844264484508466,-0.43180263686837983,-0.13625668124291596,-0.27040502375299386,-0.2852549247399023,2.7928288802918804,1.8950598381142776,-0.844173077041128,-0.5373966395108194,2.9522478058329433,1.3792011003555047
2019-04-30,-0.424648046350622,-0.42580241698582266,-0.4243897720601782,-0.4218442787429228,-0.42156364117093414,-0.307392078273584,-0.5279640759905444,-0.3908737872782646,-0.32574566984005365,-0.45081517760130746,-0.35013205163495936,-0.31830439657147647,-0.7082695898976444,-0.461544376442345,-0.29312847492239524,-0.04563875791344707,-0.3993336951964577,-0.4745183413337379,-0.16871266953332606,-0.29315961938181495,-0.2541933648525483,2.8082473828031946,2.1743273848159075,-0.5333076617736187,-0.4861292346544725,2.9216168414315633,1.0032195693518118
2019-05-31,-0.35558097788755577,-0.3580361017970163,-0.35392183671715893,-0.3516678764047141,-0.35315246671807177,-0.2257434222998704,-0.4707007384138486,-0.29122767057055304,-0.2186070580991843,-0.3591365475158692,-0.24224720965869548,-0.1955385203684161,-0.6068238995043647,-0.38437539384760244,-0.25448607288497743,0.10386579097686852,-0.336385814791952,-0.41580227073741866,-0.11481217644694434,-0.28141530145552224,-0.1641947356382565,3.031182419824941,2.013813079666324,-1.3898853748740811,-0.6889776778403423,2.808241999457807,0.4556158545464761
2019-06-30,-0.3416968491322378,-0.3451776766193962,-0.34233830531182163,-0.33984546468465776,-0.33930305483665,-0.2056650345910209,-0.4613319136623513,-0.2819053247471039,-0.19298481175865437,-0.35861910880532405,-0.2347749682646354,-0.1893549692021017,-0.6384119257260261,-0.41226330548332313,-0.2289761663462795,0.12077792795297901,-0.3290323988275141,-0.4306843138971645,-0.018873685588531718,-0.13539742403273305,-0.21605133319399483,3.036582280431247,1.9313676857536923,-1.4546735172795588,-1.0957978297619952,2.5926947645703544,0.9117367230448034
2019-07-31,-0.3432302618376262,-0.34570499092110035,-0.33872845318247913,-0.33477159596019807,-0.3405247873790842,-0.20973482309503932,-0.46177185356900546,-0.24696806150036793,-0.16054550715252647,-0.3248741419863628,-0.22469090401952924,-0.185550692239058,-0.6226677725866223,-0.42620941410806246,-0.17732767895907936,0.09651247717723901,-0.31863348858960144,-0.41823603208889026,-0.0858486364632881,-0.1698548998596865,-0.17887910022495157,2.994728349263522,1.8706071195619955,-1.5855152726497945,-1.1063356024631479,2.5582927147719756,1.0864633100607701
2019-08-31,-0.2055481906490108,-0.20810999415261922,-0.19488414692441186,-0.19229296820870576,-0.20058567292627316,-0.04829688446095392,-0.3412057164004669,-0.04816903683607876,0.053900074075958676,-0.14188084083727964,-0.052205045857247785,0.0014127556820649,-0.4719007167560448,-0.2042413728729067,-0.0964772270961434,0.3362903843289709,-0.15873093855132692,-0.3067021619541659,-0.006040074321469114,-0.18719572298586978,-0.0326297268989233,2.9242007746470287,1.2940465979694658,-2.7353107708719095,-1.6327715870281436,2.0022851641631525,0.8530430457233099
2019-09-30,-0.22741767183658484,-0.23004581787888145,-0.21191271790817495,-0.20941341750602882,-0.21897173127257333,-0.0890879367621619,-0.33996547841616004,-0.05301779453864658,0.010661880895964015,-0.10918996418431205,-0.0919746448618803,-0.051817996893016714,-0.4707106267823704,-0.29412077070337556,-0.0958685118591314,0.35189068338911594,-0.1901179746580454,-0.32661606809247234,-0.03939779208094246,-0.2324021197120934,-0.07952451240348131,2.9216320953662387,1.4430119404883774,-2.509576003196973,-1.5044527686073177,2.353468047987995,0.4949376720269328
2019-10-31,-0.2325181319901156,-0.23519866608760365,-0.22127521145353934,-0.2209981746274315,-0.22567339945994985,-0.07604353421792082,-0.36475928334429275,-0.09748687685047938,-0.00870852922725905,-0.17950585815642964,-0.09050027977065132,-0.044973563726677435,-0.4925106021139881,-0.2526714172132641,-0.1998677303093328,0.4082639314364803,-0.18367777256082443,-0.31726151341429637,0.008900404033668482,-0.16434840870220324,-0.05553982728862493,2.919634452717758,1.3023969505437598,-2.41615182237691,-1.6347675046711312,2.3784899595079407,0.6967524093233165
2019-11-30,-0.17534444820014874,-0.17900664462797747,-0.15241036703808686,-0.15254070572286224,-0.16471336109751444,0.04799985979212018,-0.3675127388656189,0.0857643357109249,0.24832245077480294,-0.06791330871599897,0.06611864384335911,0.15349317238576593,-0.5643603254872733,-0.07232329703578023,-0.1817695499008661,0.6875588605423492,-0.05113586038230736,-0.2244338590283611,0.022467192024457225,-0.15279399311252145,0.0882710590243183,3.119652734641729,1.4114247282562988,-2.799591858266959,-2.0340347894222175,0.6075290357590533,0.801283034149314
